first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Renato,Palma Veiga,0,0,7,176,2,9.2,30.4,19.0,0,22,5.9,1,0,2,0.1,44,MID
Robert,Sánchez,0,0,101,2430,31,10.0,664.0,0.0,9,379,67.3,7,0,5,7.5,45,GK
Tosin,Adarabioyo,1,1,57,1223,14,47.3,309.8,88.0,4,244,44.8,5,0,3,0.4,42,DEF
Wesley,Fofana,0,0,26,1172,13,85.0,200.2,33.0,2,162,31.9,2,0,7,0.2,43,DEF
Jadon,Sancho,3,5,81,1648,22,484.6,320.2,389.0,3,349,119.2,6,0,1,1.0,62,MID
Pedro,Lomba Neto,4,4,85,1825,22,673.7,432.6,480.0,9,373,158.7,5,0,8,1.6,61,MID
Caleb,Wiley,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Filip,Jørgensen,0,0,18,540,9,0.0,157.6,0.0,0,59,15.9,1,0,0,0.5,42,GK
João,Félix Sequeira,1,2,24,362,4,95.4,88.0,141.0,0,90,32.3,1,0,2,0.4,59,MID
Samuel,Rak-Sakyi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Tyrique,George,1,1,13,96,0,62.2,66.0,30.0,0,48,15.7,0,0,1,0.0,45,MID
Josh,Acheampong,0,0,4,168,3,2.5,13.6,13.0,0,8,2.9,0,0,1,0.1,40,DEF
Enzo,Maresca,0,0,58,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.9,15,AM
Mathis,Amougou,0,0,1,7,0,0.9,1.0,0.0,0,2,0.2,0,0,0,0.0,45,MID
Aaron,Anselmino,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Shumaira,Mheuka,0,0,1,1,0,0.0,3.0,17.0,0,5,2.0,0,0,0,0.0,45,FWD
Ishé,Samuels-Smith,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Genesis,Antwi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Eddie,Nketiah,1,2,38,866,14,142.6,117.2,387.0,1,130,64.3,2,1,3,0.6,59,FWD
Ben,Chilwell,0,0,5,135,2,27.6,37.0,10.0,0,21,7.5,0,0,1,0.5,46,DEF
Naouirou,Ahamada,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID
Cheick,Doucouré,0,1,19,443,6,25.7,58.6,23.0,0,71,10.8,1,0,1,0.0,48,MID
Chris,Richards,1,1,57,1561,27,39.5,394.4,139.0,2,205,57.1,6,1,2,0.2,44,DEF
Chadi,Riad Dnanou,0,0,1,90,2,1.3,18.2,0.0,0,3,2.0,0,0,0,0.0,43,DEF
Nathaniel,Clyne,0,0,18,477,11,51.8,66.6,8.0,0,48,12.4,1,0,1,0.1,43,DEF
Malcolm,Ebiowei,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Eberechi,Eze,4,8,113,2338,33,762.3,532.0,605.0,9,481,189.9,8,0,1,11.3,69,MID
Marc,Guéhi,3,2,107,2879,41,192.6,771.6,228.0,10,445,119.1,10,1,7,6.2,47,DEF
Dean,Henderson,0,0,123,3060,47,20.0,788.8,4.0,8,419,81.1,10,0,3,11.8,46,GK
Rob,Holding,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,42,DEF
Will,Hughes,0,4,59,1862,29,407.7,309.6,76.0,3,250,78.1,8,0,11,0.0,49,MID
Daichi,Kamada,0,0,40,1321,25,287.7,192.6,129.0,0,200,61.3,3,1,3,0.1,51,MID
Jefferson,Lerma Solís,0,1,51,2027,33,170.3,331.8,173.0,2,288,67.3,5,0,8,0.1,48,MID
Jean-Philippe,Mateta,14,2,144,2438,36,380.8,647.8,701.0,27,558,172.5,8,0,2,11.9,78,FWD
Matheus,França de Oliveira,1,0,7,24,0,0.6,36.6,40.0,0,27,7.8,0,0,0,0.2,44,MID
Remi,Matthews,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,39,GK
Tyrick,Mitchell,0,4,107,2850,44,507.6,563.6,135.0,4,389,120.9,11,0,2,2.1,48,DEF
Daniel,Muñoz,4,5,127,2869,42,546.8,718.4,450.0,7,428,171.6,10,0,9,17.4,53,DEF
David,Ozoh,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Jesurun,Rak-Sakyi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Jeffrey,Schlupp,0,0,12,95,3,42.9,22.8,46.0,0,43,11.0,0,0,0,0.0,46,MID
Joel,Ward,0,0,1,1,0,0.0,0.0,0.0,0,3,0.0,0,0,0,0.1,43,DEF
Adam,Wharton,0,2,39,1254,21,364.4,255.4,66.0,0,230,68.6,3,0,2,0.1,47,MID
Matt,Turner,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,7.7,39,GK
Ismaïla,Sarr,7,5,127,2389,35,528.0,572.2,738.0,12,468,183.8,9,0,4,6.4,58,MID
Franco,Umeh-Chibueze,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,MID
Justin,Devenny,1,0,28,418,6,90.0,101.4,66.0,1,102,25.9,0,0,1,0.1,45,MID
Asher,Agbinone,0,0,2,4,0,10.6,4.0,1.0,0,4,1.5,0,0,0,0.0,45,MID
Kaden,Rodney,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Maxence,Lacroix,1,2,103,2756,41,85.2,637.6,233.0,9,420,95.5,10,0,5,0.9,45,DEF
Caleb,Kporha,0,0,2,11,1,4.6,8.0,0.0,0,1,1.3,0,0,0,0.0,40,DEF
Zach,Marsh,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,45,FWD
Romain,Esse,1,0,11,32,0,12.1,41.0,43.0,2,35,9.6,0,0,0,0.1,47,MID
Oliver,Glasner,0,0,90,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,8.6,8,AM
Armando,Broja,0,0,12,327,2,53.8,20.2,43.0,0,23,10.9,2,0,1,0.1,53,FWD
Abdoulaye,Doucouré,3,1,83,2335,31,347.1,320.0,322.0,5,304,98.5,10,1,3,0.4,51,MID
Norberto Bercique,Gomes Betuncal,6,0,67,1115,21,114.5,287.4,478.0,9,224,87.3,2,0,2,3.2,48,FWD
Jarrad,Branthwaite,0,1,77,2166,24,43.6,552.8,110.0,3,363,70.7,8,0,4,1.5,48,DEF
Dominic,Calvert-Lewin,3,2,59,1571,17,124.7,191.0,527.0,3,147,83.6,8,0,2,1.0,54,FWD
Séamus,Coleman,0,0,3,196,4,1.9,38.0,21.0,0,9,6.2,0,0,1,0.0,43,DEF
Idrissa,Gueye,0,3,78,2614,35,306.7,463.6,106.0,5,431,87.6,10,0,8,0.2,48,MID
James,Garner,0,1,32,1140,15,199.0,195.2,52.0,0,182,44.4,3,0,3,0.0,49,MID
Jack,Harrison,1,3,72,1819,24,482.8,253.6,257.0,4,260,98.7,6,0,0,0.2,52,MID
Mason,Holgate,0,0,1,5,1,0.0,0.0,0.0,0,-1,0.0,0,0,0,0.1,40,DEF
Tim,Iroegbunam,0,1,20,555,16,40.7,115.4,32.0,0,71,18.9,0,0,4,0.6,43,MID
João,Neves Virgínia,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,39,GK
Michael,Keane,2,0,32,850,19,22.9,228.6,84.0,3,80,33.7,2,0,5,4.2,38,DEF
Neal,Maupay,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,49,FWD
Dwight,McNeil,3,6,71,1155,23,557.7,307.6,171.0,6,321,103.8,4,0,1,1.1,51,MID
Vitalii,Mykolenko,0,2,94,2632,35,350.9,500.6,75.0,6,362,92.9,9,0,2,5.0,43,DEF
Iliman,Ndiaye,7,0,95,2113,21,300.4,499.0,418.0,18,447,122.1,13,0,3,0.8,52,FWD
Nathan,Patterson,0,0,9,198,3,38.0,30.4,10.0,0,29,7.9,0,0,0,0.0,44,DEF
Jordan,Pickford,0,1,132,2970,40,20.3,893.0,0.0,12,493,91.2,10,0,7,14.7,51,GK
James,Tarkowski,1,1,105,2922,38,188.8,859.0,217.0,8,468,126.9,10,0,6,2.6,49,DEF
Youssef,Ramalho Chermiti,0,0,1,15,0,0.3,2.2,22.0,0,5,2.5,0,0,1,0.0,49,FWD
Ashley,Young,1,4,82,1578,22,279.2,370.8,46.0,8,278,69.8,7,1,6,1.5,43,DEF
Carlos,Alcaraz Durán,1,1,23,449,6,141.1,120.4,149.0,3,103,41.2,0,0,3,0.1,47,MID
Jesper,Lindstrøm,0,1,44,1229,14,309.6,214.2,237.0,0,167,76.0,6,0,2,0.1,50,MID
Jake,O'Brien,2,0,50,1208,14,106.3,286.4,98.0,4,170,49.1,3,0,4,0.4,45,DEF
Harrison,Armstrong,0,0,2,47,1,10.9,1.8,9.0,0,1,2.2,0,0,1,0.1,44,MID
Jenson,Metcalfe,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Asmir,Begovic,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40,GK
Roman,Dixon,0,0,0,90,4,0.3,15.4,0.0,0,0,1.6,0,0,0,0.1,40,DEF
Orel,Mangala,1,0,39,1257,10,133.5,172.8,106.0,0,175,41.4,5,0,2,0.0,50,MID
Callum,Bates,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Martin,Sherif,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,FWD
David,Moyes,0,0,94,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.2,5,AM
Isaac,Heath,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Coby,Ebere,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Reiss,Nelson,1,1,27,483,9,223.9,131.6,195.0,2,143,55.1,1,0,1,0.0,50,MID
Emile,Smith Rowe,5,2,98,1823,24,338.1,358.4,330.0,13,383,102.8,7,0,2,7.4,51,MID
Joachim,Andersen,0,0,45,2223,38,73.7,556.8,99.0,3,258,73.1,4,1,6,3.5,42,DEF
Adama,Traoré,2,5,78,1509,22,498.8,316.6,388.0,6,322,120.5,3,0,2,1.4,45,MID
Andreas,Hoelgebaum Pereira,2,6,76,1826,27,816.5,324.4,273.0,2,344,141.0,5,0,8,0.9,49,MID
Calvin,Bassey,1,0,70,2714,40,72.5,519.2,149.0,0,357,74.1,5,0,6,0.7,45,DEF
Steven,Benda,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,39,GK
Tom,Cairney,1,0,23,473,10,174.8,110.0,49.0,0,145,33.4,1,1,3,0.0,48,MID
Timothy,Castagne,0,1,45,1619,28,162.8,358.6,123.0,0,202,64.6,3,0,1,1.1,42,DEF
Issa,Diop,0,0,31,1334,19,44.7,257.6,83.0,0,146,38.3,1,0,2,0.2,43,DEF
Luke,Harris,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Alex,Iwobi,9,5,144,2637,37,803.0,744.2,637.0,16,638,218.6,6,0,1,8.7,55,MID
Bernd,Leno,0,2,101,2970,45,20.0,822.8,0.0,5,430,84.2,5,0,4,6.1,50,GK
Saša,Lukić,0,2,49,2038,32,390.8,303.6,96.0,1,313,79.0,4,0,12,0.0,48,MID
Kevin,Mbabu,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF
Rodrigo,Muniz Carvalho,8,1,86,943,17,95.3,352.4,508.0,14,349,95.4,2,0,1,1.6,55,FWD
Raúl,Jiménez,10,3,124,2036,28,289.6,512.2,878.0,20,454,167.7,7,0,3,6.9,53,FWD
Tim,Ream,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF
Harrison,Reed,0,0,9,85,3,20.6,18.6,33.0,0,33,7.1,0,0,2,0.0,47,MID
Antonee,Robinson,0,10,102,2898,44,678.6,831.2,196.0,8,467,170.8,5,0,8,20.4,48,DEF
Jay,Stansfield,0,0,1,1,0,0.0,0.0,0.0,0,2,0.0,0,0,0,0.0,50,FWD
Kenny,Tete,0,2,44,1347,17,125.5,279.0,131.0,0,180,53.5,3,0,3,0.2,44,DEF
Carlos Vinícius,Alves Morais,0,0,2,9,1,0.0,4.0,19.0,0,10,2.3,0,0,0,0.3,50,FWD
Harry,Wilson,5,2,64,840,15,259.6,254.6,298.0,6,248,80.4,2,0,2,0.2,52,MID
Ryan,Sessegnon,3,2,43,320,5,63.5,176.0,156.0,2,101,39.5,1,0,0,4.4,41,DEF
Jorge,Cuenca Barreno,0,0,7,258,6,2.0,58.4,4.0,0,30,6.3,0,0,0,0.0,44,DEF
Josh,King,0,0,7,78,0,37.3,21.4,24.0,0,25,8.4,1,0,0,0.1,44,MID
Martial,Godo,0,0,1,14,0,0.5,1.0,6.0,0,1,0.8,0,0,0,0.0,44,MID
Sander,Berge,0,0,48,1971,28,260.3,296.4,34.0,2,303,59.0,4,0,4,0.0,50,MID
Samuel,Amissah,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Marco Alexandre,Saraiva da Silva,0,0,76,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,2.7,11,AM
Willian,Borges da Silva,0,0,9,156,2,52.6,18.2,13.0,0,32,8.5,1,0,0,0.0,50,MID
Julio,Enciso,1,3,44,835,15,208.4,194.2,278.0,3,177,67.9,2,0,3,0.1,54,MID
Ali,Al-Hamadi,0,0,8,125,5,25.7,5.6,32.0,0,15,6.0,0,0,3,0.2,47,FWD
Elkan,Baggott,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Nathan,Broadhead,1,0,28,594,10,94.9,106.8,127.0,0,108,32.9,2,0,1,0.0,49,MID
Cameron,Burgess,0,1,19,1270,31,74.4,325.2,82.0,0,90,48.3,0,0,0,1.9,38,DEF
Wes,Burns,0,1,30,922,23,148.5,111.6,66.0,0,144,31.8,1,0,1,0.0,47,MID
Conor,Chaplin,1,2,35,615,13,120.5,97.6,86.0,0,121,29.9,1,0,1,0.1,51,MID
Harry,Clarke,0,0,1,377,10,24.4,48.2,35.0,0,-5,10.5,0,1,1,0.0,40,DEF
Leif,Davis,1,2,50,2562,66,769.1,459.0,128.0,5,170,135.5,2,1,5,0.9,42,DEF
Liam,Delap,12,2,127,2350,52,274.5,508.6,731.0,22,459,150.6,3,0,9,3.2,56,FWD
George,Edmundson,0,0,1,1,0,0.0,0.0,0.0,0,3,0.0,0,0,0,0.1,40,DEF
Jacob,Greaves,1,0,32,1755,42,40.3,477.8,135.0,0,140,65.4,2,0,4,2.5,38,DEF
Marcus,Myers-Harness,0,0,2,43,2,1.9,9.4,6.0,0,4,1.7,0,0,0,0.0,49,MID
George,Hirst,2,1,36,436,11,46.3,106.6,127.0,2,121,27.6,0,0,1,0.0,54,FWD
Cameron,Humphreys,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Omari,Giraud-Hutchinson,3,2,77,2225,53,369.9,333.4,354.0,6,292,105.9,3,0,5,0.2,52,MID
Ben,Johnson,1,2,32,1305,36,176.8,274.6,92.0,2,39,54.3,0,0,3,2.1,38,DEF
Freddie,Ladapo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,45,FWD
Massimo,Luongo,0,0,10,187,6,5.6,31.2,2.0,0,36,4.0,0,0,0,0.2,43,MID
Sam,Morsy,1,1,58,2328,56,279.1,359.0,33.0,5,347,67.0,2,0,9,0.1,48,MID
Corrie,Ndaba,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Cieran,Slicker,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6,39,GK
Jack,Taylor,1,0,31,580,14,92.8,117.4,81.0,1,113,28.9,0,0,3,0.0,48,MID
Axel,Tuanzebe,0,1,22,1445,32,70.1,254.2,21.0,0,63,34.4,1,1,3,1.2,39,DEF
Christian,Walton,0,0,14,540,16,10.0,139.4,0.0,2,38,14.9,1,0,0,0.2,43,GK
Luke,Woolfenden,0,0,16,1007,23,6.1,211.6,8.0,0,82,22.7,1,0,2,1.2,39,DEF
Kalvin,Phillips,0,0,26,1209,30,114.7,179.2,37.0,0,163,33.0,1,1,4,0.1,48,MID
Arijanet,Muric,0,0,49,1620,33,0.0,531.2,0.0,5,186,53.1,1,0,1,0.5,44,GK
Jaden,Philogene,2,0,37,796,22,98.2,159.0,190.0,3,116,43.9,2,1,3,0.1,53,MID
Conor,Townsend,0,1,11,334,6,56.0,110.2,13.0,0,43,18.0,0,0,1,0.6,39,DEF
Sam,Szmodics,4,0,53,976,17,81.6,211.4,263.0,2,161,55.1,2,0,2,0.2,57,MID
Jens,Cajuste,1,0,54,1776,42,177.9,240.8,46.0,2,269,46.1,1,0,2,0.1,45,MID
Dara,O'Shea,0,2,43,2672,64,56.8,752.0,176.0,1,203,98.3,2,0,6,1.2,39,DEF
Jack,Clarke,0,4,47,977,28,273.3,207.6,118.0,0,197,59.7,1,0,2,0.0,54,MID
Chiedozie,Ogbene,0,0,7,237,3,30.2,22.8,12.0,0,29,6.4,0,0,0,0.0,48,MID
Ben,Godfrey,0,0,-1,108,7,2.3,8.8,2.0,0,-19,1.3,0,0,1,0.0,40,DEF
Kieran,McKenna,0,0,45,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,5,AM
Alex,Palmer,0,0,16,810,22,10.0,287.2,0.0,0,63,29.6,0,0,2,0.1,45,GK
Somto,Boniface,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Facundo,Buonanotte,4,2,66,1416,30,402.6,369.6,273.0,4,262,104.3,2,0,7,0.4,45,MID
Jordan,Ayew,4,0,59,1322,36,238.7,239.2,271.0,3,217,74.9,2,0,6,0.2,51,MID
Odsonne,Edouard,0,0,7,141,3,25.0,5.0,50.0,0,14,8.0,0,0,0,0.2,51,FWD
Boubakary,Soumaré,0,0,40,1904,49,244.2,253.4,45.0,0,290,54.4,0,0,8,0.3,44,MID
Tom,Cannon,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,45,FWD
Hamza,Choudhury,0,0,4,129,5,30.4,33.8,6.0,0,29,7.0,0,0,0,1.1,44,MID
Conor,Coady,0,0,16,1262,35,31.4,251.8,10.0,0,65,29.4,0,0,2,0.3,40,DEF
Patson,Daka,1,0,30,631,16,40.4,79.8,144.0,2,97,25.8,0,0,0,0.6,48,FWD
Bobby,De Cordova-Reid,1,4,47,689,16,84.0,100.8,67.0,2,143,25.3,1,0,2,0.1,52,MID
Wout,Faes,1,0,39,2362,56,66.3,574.6,114.0,0,166,75.6,1,0,3,5.0,38,DEF
Michael,Golding,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,44,MID
Mads,Hermansen,0,0,62,2295,55,0.2,814.8,0.0,1,231,81.6,1,0,1,0.4,44,GK
Daniel,Iversen,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.7,39,GK
James,Justin,2,1,50,2534,62,224.7,513.2,196.0,2,141,93.6,1,0,5,1.1,41,DEF
Victor,Kristiansen,0,1,32,2380,60,356.7,506.4,36.0,0,154,89.7,1,0,1,0.1,44,DEF
Wanya,Marçal-Madivádua,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Stephy,Mavididi,4,1,72,1606,38,375.3,339.2,302.0,5,270,101.5,1,0,2,0.3,50,MID
Kasey,McAteer,0,1,21,478,11,87.1,68.4,91.0,0,74,24.5,1,0,1,0.0,47,MID
Wilfred,Ndidi,0,4,52,1968,43,251.4,460.6,262.0,1,306,97.3,1,0,7,0.2,49,MID
Caleb,Okoli,1,0,26,1121,26,15.2,318.6,73.0,1,103,40.7,1,0,4,0.5,40,DEF
Ricardo,Barbosa Pereira,0,0,8,293,5,11.9,44.2,19.0,0,38,7.5,0,0,1,0.1,41,DEF
Harry,Souttar,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Jakub,Stolarczyk,0,0,10,540,12,0.0,140.8,0.0,0,44,14.1,0,0,1,0.4,40,GK
Luke,Thomas,0,0,9,692,18,70.0,158.8,20.0,0,66,24.8,0,0,1,1.4,39,DEF
Jamie,Vardy,7,4,106,2482,63,253.7,406.8,650.0,13,380,130.6,2,0,5,4.5,53,FWD
Jannik,Vestergaard,0,0,11,1390,35,46.6,321.0,53.0,0,86,42.4,0,0,5,1.6,39,DEF
Danny,Ward,0,0,2,135,6,0.0,35.4,0.0,0,-5,3.6,0,0,0,2.1,39,GK
Harry,Winks,0,2,40,1536,34,319.6,272.8,37.0,0,282,63.2,0,0,4,4.8,43,MID
Oliver,Skipp,0,0,20,851,22,135.2,88.8,28.0,0,99,25.1,1,0,6,0.0,47,MID
Abdul,Fatawu,0,2,26,576,14,104.3,147.6,148.0,3,125,40.1,0,0,0,0.2,51,MID
Will,Alves,0,0,1,1,0,0.3,0.0,0.0,0,3,0.0,0,0,0,0.1,44,MID
Ben,Nelson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Bilal,El Khannouss,2,2,67,1834,50,461.3,322.4,149.0,6,306,93.1,1,0,4,0.1,48,MID
Henry,Cartwright,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Thomas,Wilson-Brown,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Woyo,Coulibaly,0,0,1,107,6,3.4,24.4,24.0,0,-4,5.2,0,0,1,0.0,40,DEF
Ruud,van Nistelrooij,0,0,18,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,5,AM
Jeremy,Monga,0,0,2,21,0,0.1,0.0,0.0,0,3,0.0,0,0,0,0.0,45,MID
Olabade,Aluko,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Jake,Evans,0,0,1,1,0,0.0,0.0,0.0,0,3,0.0,0,0,0,0.0,45,MID
Alisson,Ramses Becker,0,0,99,2058,19,13.0,448.2,0.0,9,380,46.0,10,0,0,9.1,55,GK
Trent,Alexander-Arnold,3,6,141,2163,21,792.9,697.4,249.0,13,581,173.7,12,0,5,19.5,72,DEF
Stefan,Bajčetić Maquieira,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Conor,Bradley,0,1,34,524,5,83.0,104.2,138.0,3,135,32.5,3,0,3,0.9,47,DEF
Bobby,Clark,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Darwin,Núñez Ribeiro,5,3,61,995,17,123.9,249.2,354.0,6,233,72.0,2,0,8,2.0,70,FWD
Diogo,Teixeira da Silva,6,4,83,1064,10,164.7,297.4,502.0,4,223,95.6,7,0,2,2.8,72,MID
Ben,Doak,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Harvey,Elliott,0,1,16,175,1,80.0,42.8,75.0,0,55,19.9,0,0,0,0.2,52,MID
Endo,Wataru,0,0,16,143,2,17.8,28.2,4.0,0,53,4.9,0,0,0,0.1,46,MID
Cody,Gakpo,8,4,100,1547,18,435.5,491.4,551.0,15,458,148.0,5,0,4,5.2,72,FWD
Joe,Gomez,0,0,14,517,8,38.5,130.4,58.0,0,83,22.8,1,0,1,0.4,47,DEF
Ryan,Gravenberch,0,3,84,2831,28,432.1,507.8,104.0,1,525,104.6,14,0,5,0.7,50,MID
Curtis,Jones,3,5,79,1407,20,291.9,345.6,356.0,4,342,98.8,6,1,1,0.3,53,MID
Caoimhin,Kelleher,0,0,45,900,12,0.0,224.2,0.0,1,156,22.4,4,0,0,1.3,40,GK
Ibrahima,Konaté,1,2,100,2230,21,154.3,532.8,125.0,4,464,81.6,11,0,5,7.7,53,DEF
Luis,Díaz,11,7,165,2145,15,710.5,684.4,820.0,20,568,221.4,15,0,2,21.4,75,MID
Mohamed,Salah,27,18,320,2924,30,1023.3,1473.4,1801.0,51,1054,429.7,15,0,1,71.5,138,MID
Alexis,Mac Allister,4,5,107,2470,21,667.0,574.4,336.0,5,518,157.6,14,0,6,1.8,62,MID
James,McConnell,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,43,MID
Tyler,Morton,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,MID
Nathaniel,Phillips,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF
Jarell,Quansah,0,0,10,308,6,17.1,87.0,13.0,0,40,11.8,0,0,1,1.1,39,DEF
Rhys,Williams,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Andrew,Robertson,0,0,83,2215,28,629.6,358.6,164.0,4,371,114.9,10,1,3,4.1,58,DEF
Dominik,Szoboszlai,5,7,119,2184,23,641.8,461.6,533.0,13,509,163.1,12,0,6,2.8,62,MID
Konstantinos,Tsimikas,0,1,41,658,3,189.4,168.6,56.0,3,200,41.6,4,0,2,0.2,46,DEF
Virgil,van Dijk,2,1,133,2970,31,186.0,802.4,271.0,8,584,125.8,14,0,3,27.3,66,DEF
Federico,Chiesa,0,0,4,33,1,2.4,3.4,34.0,0,8,3.9,0,0,0,0.2,68,MID
Vítezslav,Jaros,0,0,1,11,0,0.0,8.8,0.0,0,6,0.9,0,0,0,0.1,40,GK
Harvey,Davies,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Treymaurice,Nyoni,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Amara,Nallo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Jayden,Danns,0,0,1,10,1,0.3,0.0,0.0,0,2,0.0,0,0,0,0.0,45,FWD
Arne,Slot,0,0,95,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,14.5,15,AM
Manuel,Akanji,0,0,46,1710,27,232.9,292.0,56.0,1,231,58.1,4,0,3,2.2,53,DEF
Nathan,Aké,0,0,25,677,11,33.7,104.6,20.0,0,121,15.9,3,0,0,0.8,53,DEF
Bernardo,Veiga de Carvalho e Silva,3,4,90,2307,36,669.5,505.4,480.0,10,474,165.6,6,0,7,2.5,61,MID
Oscar,Bobb,0,0,2,13,0,12.4,4.2,0.0,0,10,1.6,0,0,0,0.1,47,MID
Scott,Carson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,39,GK
Kevin,De Bruyne,3,9,96,1448,19,782.3,405.2,346.0,9,401,153.1,7,0,2,6.3,94,MID
Jérémy,Doku,3,5,77,1297,13,422.2,411.6,415.0,3,387,125.2,6,0,1,1.4,62,MID
Ederson,Santana de Moraes,0,4,91,1960,25,43.0,522.0,0.0,9,327,56.4,7,0,3,4.9,53,GK
Phil,Foden,7,3,100,1682,24,717.7,440.4,438.0,10,434,159.2,5,0,2,4.7,91,MID
Jack,Grealish,1,1,37,709,9,321.4,155.2,234.0,4,184,71.1,2,0,3,0.2,64,MID
Joško,Gvardiol,5,0,129,2918,40,470.4,788.2,434.0,11,527,169.6,10,0,2,27.2,63,DEF
