first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Ismaïla,Sarr,0,1,14,300,2,82.0,36.2,132.0,0,60,25.0,1,0,1,0.2,57,MID
Franco,Umeh-Chibueze,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Justin,Devenny,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Asher,Agbinone,0,0,1,2,0,10.3,0.0,1.0,0,2,1.1,0,0,0,0.0,45,MID
Kaden,Rodney,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Maxence,Lacroix,0,1,19,540,6,37.8,121.8,19.0,0,85,17.9,2,0,2,0.1,45,DEF
Caleb,Kporha,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Armando,Broja,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,54,FWD
Abdoulaye,Doucouré,0,0,16,564,10,91.6,66.4,38.0,0,65,19.5,2,0,0,0.2,52,MID
Norberto Bercique,Gomes Betuncal,1,0,11,52,4,0.3,36.2,57.0,2,36,9.4,0,0,0,0.6,50,FWD
Jarrad,Branthwaite,0,0,3,94,1,0.8,22.4,0.0,0,21,2.3,0,0,0,0.7,48,DEF
Dominic,Calvert-Lewin,2,1,31,763,12,46.6,125.0,280.0,3,77,45.0,2,0,1,5.4,60,FWD
Séamus,Coleman,0,0,1,90,3,1.1,16.6,21.0,0,-1,3.9,0,0,0,0.0,43,DEF
Idrissa,Gueye,0,0,15,553,13,17.4,66.4,36.0,0,76,12.0,1,0,0,0.1,49,MID
James,Garner,0,0,7,251,4,20.9,54.0,5.0,0,36,7.9,1,0,1,0.0,50,MID
Jack,Harrison,0,1,20,591,11,124.5,70.6,90.0,0,77,28.3,2,0,0,0.1,53,MID
Mason,Holgate,0,0,1,5,1,0.0,0.0,0.0,0,-1,0.0,0,0,0,0.2,40,DEF
Tim,Iroegbunam,0,0,8,381,13,27.1,47.0,29.0,0,29,10.4,0,0,2,0.8,45,MID
João,Neves Virgínia,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,40,GK
Michael,Keane,2,0,31,720,15,22.3,208.0,65.0,3,87,29.7,2,0,3,9.7,42,DEF
Neal,Maupay,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,49,FWD
Dwight,McNeil,3,3,49,797,16,407.6,244.2,146.0,6,218,79.8,2,0,1,13.0,58,MID
Vitalii,Mykolenko,0,0,14,565,12,68.6,90.2,9.0,1,48,16.9,1,0,0,4.2,43,DEF
Iliman,Ndiaye,2,0,29,652,9,89.5,168.8,120.0,6,138,38.0,3,0,1,1.4,54,FWD
Nathan,Patterson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,DEF
Jordan,Pickford,0,0,33,810,16,0.1,223.0,0.0,3,101,22.2,2,0,1,9.9,48,GK
James,Tarkowski,0,0,21,810,16,55.1,200.8,64.0,2,63,32.1,2,0,2,1.4,48,DEF
Youssef,Ramalho Chermiti,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,FWD
Ashley,Young,0,3,27,605,9,108.0,155.8,9.0,2,98,27.3,2,1,1,0.8,45,DEF
Jesper,Lindstrøm,0,0,7,169,3,47.3,35.2,57.0,0,24,13.9,1,0,0,0.1,52,MID
Jake,O'Brien,0,0,0,26,1,0.4,4.0,0.0,0,-2,0.4,0,0,1,0.2,47,DEF
Harrison,Armstrong,0,0,1,1,0,0.1,0.0,2.0,0,4,0.2,0,0,0,0.2,45,MID
Jenson,Metcalfe,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Asmir,Begovic,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,40,GK
Roman,Dixon,0,0,0,90,4,0.3,15.4,0.0,0,0,1.6,0,0,0,0.1,40,DEF
Orel,Mangala,0,0,8,273,3,29.0,36.0,8.0,0,43,7.3,0,0,0,0.0,50,MID
Reiss,Nelson,1,1,15,120,4,73.1,76.2,64.0,1,62,21.3,0,0,1,0.1,50,MID
Emile,Smith Rowe,2,2,41,626,7,121.7,150.6,103.0,5,152,37.6,4,0,1,26.1,57,MID
Joachim,Andersen,0,0,11,513,10,19.8,134.8,33.0,2,57,18.8,1,1,1,7.3,43,DEF
Adama,Traoré,1,2,33,690,9,208.7,144.2,196.0,3,136,54.9,3,0,2,3.7,51,MID
Andreas,Hoelgebaum Pereira,1,1,26,689,8,383.1,105.8,111.0,1,116,60.0,3,0,2,1.8,53,MID
Calvin,Bassey,0,0,17,810,12,10.3,149.6,15.0,0,87,17.4,1,0,3,0.4,45,DEF
Steven,Benda,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,40,GK
Tom,Cairney,0,0,4,102,3,49.6,25.6,4.0,0,34,8.1,0,0,2,0.0,48,MID
Timothy,Castagne,0,0,1,13,1,0.7,8.8,0.0,0,-2,1.0,0,0,0,0.8,42,DEF
Issa,Diop,0,0,8,390,5,23.2,80.6,36.0,0,36,13.7,0,0,1,0.2,44,DEF
Luke,Harris,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Alex,Iwobi,2,1,40,767,9,220.0,198.8,170.0,6,177,58.8,3,0,0,1.4,55,MID
Bernd,Leno,0,1,28,810,12,10.0,251.4,0.0,0,122,26.1,1,0,2,2.5,50,GK
Saša,Lukić,0,0,11,548,6,61.5,65.2,2.0,0,68,12.9,2,0,4,0.0,49,MID
Kevin,Mbabu,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40,DEF
Rodrigo,Muniz Carvalho,1,1,19,288,5,53.1,70.2,160.0,1,75,28.3,1,0,0,2.3,57,FWD
Raúl,Jiménez,4,1,41,516,7,103.9,188.4,293.0,7,161,58.8,3,0,0,10.1,57,FWD
Tim,Ream,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF
Harrison,Reed,0,0,5,53,2,17.3,8.6,9.0,0,21,3.5,0,0,2,0.0,48,MID
Antonee,Robinson,0,2,28,810,12,129.3,215.2,33.0,3,117,37.9,1,0,1,15.4,47,DEF
Jay,Stansfield,0,0,1,1,0,0.0,0.0,0.0,0,2,0.0,0,0,0,0.0,50,FWD
Kenny,Tete,0,0,18,796,11,63.9,126.6,87.0,0,63,27.8,1,0,2,0.4,45,DEF
Carlos Vinícius,Alves Morais,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,50,FWD
Harry,Wilson,0,0,4,57,2,7.8,2.2,12.0,0,14,2.0,0,0,1,0.1,53,MID
Ryan,Sessegnon,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,43,DEF
Jorge,Cuenca Barreno,0,0,1,1,1,0.0,4.2,0.0,0,1,0.4,0,0,0,0.0,44,DEF
Josh,King,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID
Martial,Godo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Sander,Berge,0,0,10,341,8,61.0,66.0,4.0,0,52,13.0,0,0,0,0.0,50,MID
Ali,Al-Hamadi,0,0,1,32,1,11.5,4.0,4.0,0,0,2.0,0,0,2,0.3,49,FWD
Elkan,Baggott,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Nathan,Broadhead,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID
Cameron,Burgess,0,0,1,180,6,15.5,54.8,35.0,0,15,10.6,0,0,0,1.2,39,DEF
Wes,Burns,0,0,9,397,11,61.4,26.4,25.0,0,49,10.5,0,0,1,0.0,49,MID
Conor,Chaplin,0,1,13,195,4,54.0,37.8,25.0,0,57,11.7,0,0,0,0.1,52,MID
Harry,Clarke,0,0,-4,95,4,4.4,1.6,0.0,0,-21,0.5,0,1,0,0.0,40,DEF
Leif,Davis,0,2,21,810,20,305.9,159.2,41.0,3,97,50.7,1,0,1,2.2,45,DEF
Liam,Delap,5,0,38,632,16,63.9,185.6,186.0,4,155,43.2,0,0,2,5.6,57,FWD
George,Edmundson,0,0,1,1,0,0.0,0.0,0.0,0,3,0.0,0,0,0,0.1,40,DEF
Jacob,Greaves,0,0,11,630,14,4.7,154.8,55.0,0,53,21.5,1,0,1,4.9,41,DEF
Marcus,Myers-Harness,0,0,2,43,2,1.9,9.4,6.0,0,4,1.7,0,0,0,0.0,49,MID
George,Hirst,1,1,16,139,3,35.7,56.8,64.0,2,57,15.8,0,0,0,0.0,54,FWD
Cameron,Humphreys,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Omari,Giraud-Hutchinson,0,1,18,704,16,109.8,79.0,91.0,1,81,28.1,1,0,3,0.3,53,MID
Ben,Johnson,0,1,4,221,10,20.6,59.4,0.0,0,7,8.0,0,0,0,2.4,40,DEF
Freddie,Ladapo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.8,45,FWD
Massimo,Luongo,0,0,6,142,4,4.3,25.0,0.0,0,22,3.0,0,0,0,0.4,45,MID
Sam,Morsy,1,0,20,713,16,89.1,137.0,16.0,2,118,24.2,1,0,4,0.3,49,MID
Corrie,Ndaba,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Cieran,Slicker,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.7,40,GK
Jack,Taylor,0,0,4,128,2,8.6,17.6,21.0,0,11,4.6,0,0,2,0.0,48,MID
Axel,Tuanzebe,0,0,11,512,10,43.0,102.0,19.0,0,46,16.4,1,0,1,2.8,40,DEF
Christian,Walton,0,0,2,90,2,0.0,28.2,0.0,0,9,2.8,0,0,0,0.2,44,GK
Luke,Woolfenden,0,0,4,377,10,2.8,72.2,6.0,0,23,8.2,0,0,1,1.8,40,DEF
Kalvin,Phillips,0,0,12,460,13,49.2,68.4,11.0,0,69,12.9,1,0,1,0.1,49,MID
Arijanet,Muric,0,0,24,720,18,0.0,245.4,0.0,3,74,24.6,1,0,0,1.2,44,GK
Conor,Townsend,0,0,1,1,1,10.0,4.0,0.0,0,2,1.4,0,0,0,0.4,40,DEF
Sam,Szmodics,2,0,22,394,8,48.6,95.6,87.0,0,70,23.0,0,0,1,0.2,58,MID
Jens,Cajuste,0,0,5,170,4,32.1,18.8,1.0,0,22,5.2,0,0,0,0.0,45,MID
Dara,O'Shea,0,0,10,512,13,3.3,129.8,48.0,1,41,18.2,1,0,1,0.8,40,DEF
Jack,Clarke,0,1,12,318,9,63.7,54.4,42.0,0,45,15.8,0,0,1,0.0,55,MID
Chiedozie,Ogbene,0,0,7,237,3,30.2,22.8,12.0,0,29,6.4,0,0,0,0.0,50,MID
Facundo,Buonanotte,3,2,36,549,10,187.7,217.6,142.0,3,144,54.7,1,0,3,2.5,51,MID
Jordan,Ayew,1,0,15,421,8,73.1,57.6,72.0,0,59,20.1,1,0,4,0.2,52,MID
Odsonne,Edouard,0,0,6,139,3,25.0,3.0,50.0,0,9,7.8,0,0,0,0.3,53,FWD
Boubakary,Soumaré,0,0,1,29,0,1.6,1.2,0.0,0,5,0.3,0,0,2,0.2,44,MID
Tom,Cannon,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6,45,FWD
Hamza,Choudhury,0,0,1,14,1,0.0,3.0,0.0,0,4,0.3,0,0,0,0.4,44,MID
Conor,Coady,0,0,0,7,1,0.0,2.0,0.0,0,-6,0.2,0,0,1,0.3,40,DEF
Patson,Daka,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,48,FWD
Bobby,De Cordova-Reid,0,0,8,159,4,14.9,9.4,19.0,0,21,4.3,0,0,0,0.1,52,MID
Wout,Faes,1,0,20,810,17,19.8,243.2,62.0,0,74,32.5,1,0,1,13.2,42,DEF
Michael,Golding,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,44,MID
Mads,Hermansen,0,0,25,810,17,0.2,338.0,0.0,0,116,33.9,1,0,0,1.0,45,GK
Daniel,Iversen,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6,40,GK
James,Justin,2,1,31,810,17,74.4,229.4,72.0,2,120,37.6,1,0,1,4.8,46,DEF
Victor,Kristiansen,0,0,12,682,14,124.1,159.4,0.0,0,77,28.3,1,0,1,0.1,45,DEF
Wanya,Marçal-Madivádua,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Stephy,Mavididi,2,0,28,538,9,131.0,114.0,100.0,3,93,34.1,1,0,1,1.1,53,MID
Kasey,McAteer,0,0,3,10,0,0.5,5.2,6.0,0,6,1.1,0,0,0,0.0,48,MID
Wilfred,Ndidi,0,4,27,776,15,116.8,223.4,104.0,1,155,44.4,1,0,3,0.6,50,MID
Caleb,Okoli,0,0,13,630,13,6.6,194.8,36.0,1,72,23.7,1,0,1,1.1,40,DEF
Ricardo,Barbosa Pereira,0,0,0,67,3,2.3,9.4,0.0,0,1,1.2,0,0,1,0.1,43,DEF
Harry,Souttar,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Jakub,Stolarczyk,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Luke,Thomas,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.9,39,DEF
Jamie,Vardy,4,0,38,753,17,71.9,162.2,172.0,7,145,40.4,1,0,3,11.3,57,FWD
Jannik,Vestergaard,0,0,2,180,3,0.6,37.8,7.0,0,7,4.5,0,0,1,2.0,40,DEF
Danny,Ward,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,2.3,40,GK
Harry,Winks,0,2,18,675,15,189.3,138.4,4.0,0,121,33.3,0,0,3,13.1,45,MID
Oliver,Skipp,0,0,9,401,8,47.7,50.0,9.0,0,47,10.6,1,0,2,0.0,49,MID
Abdul,Fatawu,0,2,22,396,10,68.3,103.8,103.0,3,95,27.6,0,0,0,0.4,54,MID
Will,Alves,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID
Ben,Nelson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Bilal,El Khannouss,0,0,6,167,5,61.8,15.4,10.0,0,23,8.7,0,0,0,0.0,49,MID
Alisson,Ramses Becker,0,0,35,528,2,0.0,126.8,0.0,5,131,12.6,4,0,0,6.2,54,GK
Trent,Alexander-Arnold,0,1,44,752,5,265.2,153.8,48.0,6,169,46.6,5,0,2,29.8,71,DEF
Stefan,Bajčetić Maquieira,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID
Conor,Bradley,0,0,4,75,1,6.5,17.8,52.0,0,11,7.6,0,0,0,0.3,47,DEF
Bobby,Clark,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Darwin,Núñez Ribeiro,1,1,14,283,4,33.0,75.0,58.0,0,63,16.7,1,0,2,2.2,71,FWD
Diogo,Teixeira da Silva,2,3,35,492,1,55.1,105.0,157.0,1,85,31.6,4,0,1,5.2,73,MID
Ben,Doak,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Harvey,Elliott,0,0,1,7,0,2.0,0.0,2.0,0,3,0.4,0,0,0,0.2,52,MID
Endo,Wataru,0,0,3,3,0,11.1,2.4,0.0,0,10,1.3,0,0,0,0.1,47,MID
Cody,Gakpo,0,1,12,299,2,108.5,53.2,48.0,0,60,21.0,1,0,2,1.7,71,FWD
Joe,Gomez,0,0,2,10,0,0.6,10.2,0.0,0,11,1.1,0,0,0,0.4,48,DEF
Ryan,Gravenberch,0,0,22,810,5,96.3,112.8,27.0,1,149,23.6,5,0,2,1.0,50,MID
Curtis,Jones,1,1,21,319,3,56.4,99.6,89.0,3,91,24.6,1,0,0,0.2,53,MID
Caoimhin,Kelleher,0,0,12,270,3,0.0,70.0,0.0,1,48,7.0,1,0,0,1.5,44,GK
Ibrahima,Konaté,1,1,39,749,5,31.4,197.0,46.0,1,173,27.6,4,0,3,13.6,53,DEF
Luis,Díaz,5,2,60,532,3,150.1,259.4,244.0,8,197,65.3,5,0,0,27.8,79,MID
Mohamed,Salah,6,5,84,784,5,229.6,376.2,474.0,16,284,107.8,5,0,0,40.0,126,MID
Alexis,Mac Allister,0,0,16,625,3,136.8,92.4,78.0,0,97,30.7,4,0,3,1.5,62,MID
James,McConnell,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,MID
Tyler,Morton,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,MID
Nathaniel,Phillips,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF
Jarell,Quansah,0,0,1,45,0,0.5,15.8,0.0,0,7,1.6,0,0,0,1.0,40,DEF
Rhys,Williams,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF
Andrew,Robertson,0,0,31,665,5,170.7,94.6,68.0,0,146,33.3,4,0,1,5.8,60,DEF
Dominik,Szoboszlai,0,2,24,654,3,183.9,82.6,118.0,1,112,38.6,4,0,3,1.7,64,MID
Konstantinos,Tsimikas,0,0,10,138,0,12.9,25.2,2.0,0,41,4.2,1,0,0,0.2,46,DEF
Virgil,van Dijk,1,0,45,810,5,41.6,211.6,80.0,3,194,33.2,5,0,1,15.6,61,DEF
Federico,Chiesa,0,0,1,18,0,0.9,0.2,15.0,0,-1,1.6,0,0,0,0.2,68,MID
Vítezslav,Jaros,0,0,1,11,0,0.0,8.8,0.0,0,6,0.9,0,0,0,0.2,40,GK
Harvey,Davies,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Manuel,Akanji,0,0,22,691,7,156.9,144.6,25.0,0,123,32.7,2,0,1,4.8,55,DEF
Nathan,Aké,0,0,1,2,0,0.5,3.4,0.0,0,4,0.4,0,0,0,0.9,53,DEF
Bernardo,Veiga de Carvalho e Silva,0,3,30,726,8,301.0,138.4,250.0,4,151,68.9,2,0,2,5.3,65,MID
Oscar,Bobb,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,47,MID
Scott,Carson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40,GK
Kevin,De Bruyne,1,1,18,356,3,246.8,98.8,82.0,2,89,42.7,1,0,1,3.8,94,MID
Jérémy,Doku,1,1,21,398,6,141.1,105.6,118.0,0,114,36.5,1,0,0,1.9,63,MID
Ederson,Santana de Moraes,0,1,29,810,9,10.0,179.2,0.0,2,104,18.9,2,0,3,9.1,55,GK
Phil,Foden,0,1,12,280,1,191.0,56.0,66.0,0,65,31.4,1,0,0,8.3,93,MID
Jack,Grealish,0,1,15,343,4,194.1,77.2,126.0,3,90,39.8,0,0,2,0.3,64,MID
Joško,Gvardiol,2,0,42,762,8,171.4,244.8,165.0,7,176,58.2,2,0,0,29.7,62,DEF
Erling,Haaland,11,0,75,809,9,68.1,413.0,584.0,14,349,106.6,2,0,1,73.4,154,FWD
Julián,Álvarez,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,70,FWD
João,Cavaco Cancelo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,53,DEF
Mateo,Kovačić,3,1,40,698,9,176.2,212.6,73.0,7,187,46.2,2,0,3,4.1,56,MID
Rico,Lewis,0,2,29,665,7,91.1,122.0,71.0,1,112,28.4,2,0,0,15.4,48,DEF
Matheus Luiz,Nunes,0,2,14,110,0,56.9,50.0,32.0,0,57,14.0,1,0,0,0.1,49,MID
James,McAtee,0,0,1,1,0,1.0,0.2,2.0,0,3,0.3,0,0,0,0.0,47,MID
Stefan,Ortega Moreno,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,53,GK
Rodrigo 'Rodri',Hernandez,0,0,2,65,0,17.1,10.8,0.0,0,18,2.8,0,0,0,0.9,63,MID
Rúben,Gato Alves Dias,0,0,19,726,8,100.9,147.0,62.0,1,99,31.1,2,0,3,4.1,55,DEF
John,Stones,2,0,20,238,3,20.2,87.6,70.0,1,54,17.6,0,0,1,2.4,53,DEF
Kyle,Walker,0,0,7,287,5,77.7,58.0,21.0,0,40,15.7,0,0,0,4.0,53,DEF
Sávio 'Savinho',Moreira de Oliveira,0,3,26,453,5,263.6,117.4,166.0,6,128,54.7,1,0,2,1.9,65,MID
Nico,O'Reilly,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID
Ilkay,Gündogan,0,0,13,468,7,219.5,51.6,90.0,0,73,36.0,0,0,0,0.7,65,MID
Issa,Kaboré,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF
Amad,Diallo,1,1,21,371,3,184.6,109.4,114.0,0,86,40.8,3,0,1,2.9,49,MID
Antony Matheus,dos Santos,0,0,2,27,1,11.3,7.2,10.0,0,6,2.8,0,0,0,0.2,57,MID
Bruno,Borges Fernandes,0,2,23,749,10,197.3,143.4,149.0,0,123,48.8,4,1,1,6.6,82,MID
Altay,Bayindir,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,GK
Carlos Henrique,Casimiro,1,0,21,455,9,167.9,158.2,111.0,3,127,43.8,1,0,0,0.5,48,MID
Diogo,Dalot Teixeira,0,1,37,810,11,136.7,162.0,42.0,6,157,33.9,4,0,2,10.1,51,DEF
Christian,Eriksen,0,0,13,427,3,207.7,66.6,19.0,0,83,29.3,3,0,2,0.2,54,MID
Jonny,Evans,0,0,12,200,1,3.3,37.8,6.0,3,47,4.7,1,0,1,0.1,44,DEF
Alejandro,Garnacho,2,1,32,589,10,139.3,144.0,259.0,3,107,54.0,2,0,1,8.7,62,MID
Hannibal,Mejbri,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Tom,Heaton,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,40,GK
Rasmus,Højlund,1,0,14,257,4,32.8,46.6,60.0,2,51,13.8,1,0,0,1.1,69,FWD
Victor,Lindelöf,0,0,2,52,1,5.2,12.8,4.0,0,3,2.2,0,0,1,0.1,43,DEF
Harry,Maguire,0,0,8,240,1,15.0,42.4,10.0,0,38,6.7,1,0,3,0.5,49,DEF
Kobbie,Mainoo,0,0,13,571,6,57.7,73.2,23.0,0,92,15.6,4,0,4,2.5,52,MID
Tyrell,Malacia,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,DEF
Lisandro,Martínez,0,0,22,706,11,44.1,134.4,81.0,1,105,26.0,3,0,3,4.4,45,DEF
Scott,McTominay,0,0,2,17,1,0.3,3.2,5.0,0,4,0.9,0,0,0,0.2,49,MID
Mason,Mount,0,0,3,144,3,48.0,17.4,42.0,0,3,10.8,1,0,2,0.1,63,MID
André,Onana,0,0,42,810,11,13.0,213.4,0.0,3,152,22.7,4,0,0,7.1,50,GK
Facundo,Pellistri Rebollo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID
Marcus,Rashford,1,1,27,628,7,184.2,121.4,112.0,1,109,41.8,3,0,1,3.2,69,MID
Luke,Shaw,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,49,DEF
Joshua,Zirkzee,1,1,21,407,6,84.4,89.6,156.0,3,74,33.0,2,0,1,2.0,67,FWD
Leny,Yoro,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,43,DEF
Matthijs,de Ligt,1,0,27,579,10,29.6,153.2,147.0,3,99,33.2,2,0,2,4.7,50,DEF
Noussair,Mazraoui,0,1,29,642,9,56.1,152.2,44.0,2,119,25.2,3,0,1,12.6,46,DEF
Toby,Collyer,0,0,1,45,1,12.6,14.2,2.0,0,12,2.9,0,0,0,0.1,45,MID
Ethan,Wheatley,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,2.2,45,FWD
Manuel,Ugarte,0,0,4,104,2,6.5,20.4,0.0,0,16,2.6,0,0,1,0.1,49,MID
Jack,Fletcher,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Harry,Amass,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Alex,Murphy,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.9,40,DEF
Miguel,Almirón Rejala,0,0,6,102,2,17.8,3.8,32.0,0,18,5.3,0,0,0,0.4,56,MID
Harvey,Barnes,3,1,41,476,7,115.7,156.6,156.0,8,134,42.9,1,0,0,3.3,65,MID
Sven,Botman,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,DEF
Bruno,Guimarães Rodriguez Moura,0,1,23,800,10,131.6,152.6,40.0,2,137,32.6,2,0,2,1.8,62,MID
Dan,Burn,0,0,20,810,10,15.5,152.0,77.0,2,83,24.5,2,0,4,9.3,44,DEF
Martin,Dúbravka,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6,43,GK
Anthony,Gordon,2,0,31,683,7,271.7,146.0,204.0,5,128,62.2,2,0,0,9.2,72,MID
Lewis,Hall,0,1,22,605,6,197.8,169.6,16.0,0,117,38.6,2,0,3,2.1,43,DEF
Isaac,Hayden,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID
Alexander,Isak,2,1,27,585,9,89.7,127.0,247.0,3,99,46.3,1,0,0,12.6,83,FWD
Jacob,Murphy,0,2,19,494,5,107.1,84.6,72.0,0,68,26.4,1,0,1,0.4,51,MID
Joelinton Cássio,Apolinário de Lira,1,0,23,746,9,126.4,134.6,146.0,3,92,40.8,2,0,4,1.5,60,MID
Lloyd,Kelly,0,1,9,204,4,16.8,56.8,7.0,0,29,7.9,0,0,1,0.1,44,DEF
Emil,Krafth,0,0,10,240,2,10.9,44.2,11.0,0,34,6.6,1,0,0,0.1,44,DEF
Garang,Kuol,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Jamaal,Lascelles,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF
Jamal,Lewis,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40,DEF
Tino,Livramento,0,0,18,527,7,44.2,102.2,4.0,1,66,15.1,1,0,0,2.0,45,DEF
Sean,Longstaff,0,0,10,329,3,20.9,40.6,14.0,0,47,7.6,1,0,2,0.5,47,MID
Lewis,Miley,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID
Odysseas,Vlachodimos,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,GK
Nick,Pope,0,0,36,810,10,0.0,288.4,0.0,2,142,28.8,2,0,0,6.8,50,GK
John,Ruddy,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,40,GK
Fabian,Schär,1,0,15,567,8,27.2,116.4,46.0,0,54,18.5,1,1,3,1.1,54,DEF
Matt,Targett,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,40,DEF
